1994-01-01 | Size of misc in tokens: 1321905
      1853 | Gesetz zur Regelung der Seefischerei und zur Durchführung des Fischereirechts der Europäischen Union
      1828 | Gesetz über die Errichtung einer Bundesanstalt für Landwirtschaft und Ernährung
      1827 | Auslandskostengesetz
      1819 | Gesetz über Kreuzungen von Eisenbahnen und Straßen
      1779 | Gesetz über Titel, Orden und Ehrenzeichen
      1727 | Gesetz über das gerichtliche Verfahren in Binnenschiffahrtssachen
      1721 | Gesetz über die Änderung der Vornamen und die Feststellung der Geschlechtszugehörigkeit in besonderen Fällen
      1715 | Gesetz über die Errichtung der Bundesversicherungsanstalt für Angestellte
      1698 | Fünftes Gesetz über die Anpassung der Renten aus den gesetzlichen Rentenversicherungen aus Anlaß der Veränderung der allgemeinen Bemessungsgrundlage für das Jahr 1962
      1692 | Reichsversicherungsordnung / Zweites Buch Krankenversicherung
      1690 | Gesetz über das gerichtliche Verfahren bei Freiheitsentziehungen
      1690 | Gesetz über den Vertrauensmann der Zivildienstleistenden (Artikel 2 des Gesetzes über die Beteiligung der Soldaten und der Zivildienstleistenden)
      1685 | Gesetz über den Beruf der Rettungsassistentin und des Rettungsassistenten
      1677 | Gesetz zur Einführung von Beamtenrecht des Bundes im Saarland
      1676 | Gesetz zur Gleichstellung mit Zusatzversorgungssystemen des Beitrittsgebiets
      1673 | Gesetz über steuerliche Maßnahmen bei der Stillegung von Steinkohlenbergwerken
      1672 | Gesetz zur Überleitung von Bundesrecht nach Berlin (West)
      1661 | Verwaltungszustellungsgesetz
      1652 | Einführungsgesetz zum Versicherungsvertragsgesetz
      1642 | Ausführungsgesetz zu dem Übereinkommen vom 5. April 1973 zwischen dem Königreich Belgien, dem Königreich Dänemark, der Bundesrepublik Deutschland, Irland, der Italienischen Republik, dem Großherzogtum Luxemburg, dem Königreich der Niederlande, der Europäischen Atomgemeinschaft und der Internationalen Atomenergie-Organisation in Ausführung von Artikel III Abs. 1 und 4 des Vertrages vom 1. Juli 1968 über die Nichtverbreitung von Kernwaffen (Verifikationsabkommen)
      1642 | Mindesturlaubsgesetz für Arbeitnehmer
      1641 | Viertes Gesetz über die Anpassung der Renten aus den gesetzlichen Rentenversicherungen aus Anlaß der Veränderung der allgemeinen Bemessungsgrundlage für das Jahr 1961
      1639 | Gesetz über den Bau und den Betrieb von Versuchsanlagen zur Erprobung von Techniken für den spurgeführten Verkehr
      1630 | Gesetz über die Haftung und Entschädigung für Ölverschmutzungsschäden durch Seeschiffe
      1628 | Gesetz über die Kreditanstalt für Wiederaufbau
      1614 | Gesetz über die Lohnstatistik
      1606 | Gesetz zu den Internationalen Übereinkommen vom 29. November 1969 über die zivilrechtliche Haftung für Ölverschmutzungsschäden und vom 18. Dezember 1971 über die Errichtung eines Internationalen Fonds zur Entschädigung für Ölverschmutzungsschäden
      1603 | Gesetz zur Ausführung des Vertrages vom 19. Juli 1966 zwischen der Bundesrepublik Deutschland und der Tunesischen Republik über Rechtsschutz und Rechtshilfe, die Anerkennung und Vollstreckung gerichtlicher Entscheidungen in Zivil- und Handelssachen sowie über die Handelsschiedsgerichtsbarkeit
      1601 | Arbeitsförderungsgesetz
      1575 | Umwandlungsgesetz / Viertes Buch Vermögensübertragung
      1569 | Handelsklassengesetz
      1566 | Gesetz über den Wehrbeauftragten des Deutschen Bundestages
      1555 | Gesetz über die weitere Finanzierung von Maßnahmen zur Verbesserung der Verkehrsverhältnisse der Gemeinden und des Bundesfernstraßenbaus
      1548 | Gesetz zur Durchführung der EG-Richtlinie über die gegenseitige Amtshilfe im Bereich der direkten Steuern, bestimmter Verbrauchsteuern und der Steuern auf Versicherungsprämien
      1536 | Viertes Gesetz über die Erhöhung von Dienst- und Versorgungsbezügen in Bund und Ländern
      1535 | Gesetz zu den Notenwechseln vom 25. September 1990 und vom 23. September 1991 über die Rechtsstellung der in Deutschland stationierten verbündeten Streitkräfte und zu dem Übereinkommen vom 25. September 1990 zur Regelung bestimmter Fragen in bezug auf Berlin
      1501 | Gesetz zur Abwicklung und Entflechtung des ehemaligen reichseigenen Filmvermögens
      1497 | Gesetz zur Einsparung von Energie in Gebäuden
      1493 | Gesetz zur Förderung der Verwendung von Steinkohle in Kraftwerken
      1493 | Steuerbeamten-Ausbildungsgesetz
      1482 | Gesetz über die Errichtung eines Erblastentilgungsfonds
      1472 | Gesetz zur Einführung des Bundesversorgungsgesetzes im Saarland
      1455 | Gesetz über die Fortzahlung des Arbeitsentgelts im Krankheitsfall
      1442 | Siebentes Gesetz zur Änderung des Bundesbesoldungsgesetzes
      1440 | Gesetz über den unmittelbaren Zwang bei Ausübung öffentlicher Gewalt durch Vollzugsbeamte des Bundes
      1436 | Gesetz über die Deutsche Bibliothek
      1425 | Gesetz über die Rückzahlung der einbehaltenen Beiträge zur Krankenversicherung der Rentner
      1424 | Gesetz zur Abwicklung der landwirtschaftlichen Entschuldung
      1420 | Bundesbesoldungsordnung C (Anlage II des Bundesbesoldungsgesetzes)
      1414 | Gesetz zur Neuordnung der Pensionskasse Deutscher Eisenbahnen und Straßenbahnen
      1408 | Gesetz zur Errichtung einer Stiftung "Preußischer Kulturbesitz" und zur Übertragung von Vermögenswerten des ehemaligen Landes Preußen auf die Stiftung
      1390 | Tarifvertragsgesetz
      1389 | Gesetz über den Beruf des Logopäden
      1379 | Drittes Gesetz zur Änderung beamtenrechtlicher und besoldungsrechtlicher Vorschriften
      1376 | Gesetz zum Schutz gegen Fluglärm
      1370 | Gesetz über Personalausweise
      1360 | Gesetz über das Verfahren für die Erstattung von Fehlbeständen an öffentlichem Vermögen
      1358 | Gesetz zur Änderung des Bewertungsgesetzes
      1353 | Gesetz über die Statistik des grenzüberschreitenden Warenverkehrs
      1344 | Gesetz über den Beruf der Ergotherapeutin und des Ergotherapeuten
      1341 | Gesetz zur Sicherung des Unterhalts von Kindern alleinstehender Mütter und Väter durch Unterhaltsvorschüsse oder -ausfalleistungen
      1335 | Verwaltungs-Vollstreckungsgesetz
      1331 | Gesetz zur Dämpfung der Ausgabenentwicklung und zur Strukturverbesserung in der gesetzlichen Krankenversicherung
      1329 | Gesetz über die Haftpflichtversicherung für ausländische Kraftfahrzeuge und Kraftfahrzeuganhänger
      1329 | Entschädigungsrentengesetz
      1311 | Drittes Umstellungsergänzungsgesetz
      1287 | Gesetz zu den drei Abkommen vom 3. April 1958 zwischen der Bundesrepublik Deutschland und der Portugiesischen Republik über deutsche Vermögenswerte in Portugal, auf dem Gebiet des gewerblichen Rechtsschutzes und über die Liquidation des früheren deutsch-portugiesischen Verrechnungsverkehrs
      1286 | Gesetz zur Förderung der anderweitigen Verwendung von Berufssoldaten und Beamten
      1283 | Gesetz über den Holzabsatzfonds
      1282 | Viertes Gesetz zur Änderung des Bundesbesoldungsgesetzes
      1275 | Gesetz über die Verteilung des auf die Bundesrepublik Deutschland entfallenden Anteils an der von Israel für das deutsche weltliche Vermögen in Israel nach dem Abkommen vom 1. Juni 1962 gezahlten Entschädigung
      1273 | Gesetz über den Beruf der Orthoptistin und des Orthoptisten
      1269 | Gesetz über die Annahme als Kind und zur Änderung anderer Vorschriften
      1253 | Gesetz zur Vereinfachung und Beschleunigung registerrechtlicher und anderer Verfahren
      1252 | Truppenzollgesetz 1962 Gesetz zur Ausführung der Zoll- und steuerrechtlichen Bestimmungen des Abkommens zwischen den Parteien des Nordatlantikvertrags vom 19. Juni 1951 über die Rechtsstellung ihrer Truppen (NATO-Truppenstatut) und des Zusatzabkommens vom 3. August 1959 zu diesem Abkommen hinsichtlich der in der Bundesrepublik Deutschland stationierten ausländischen Truppen
      1249 | Gesetz über die Errichtung eines Fonds "Deutsche Einheit"
      1241 | Gesetz über die Entschädigung der ehrenamtlichen Richter
      1238 | Bundespolizeibeamtengesetz
      1218 | Gesetz zur Errichtung einer Museumsstiftung Post und Telekommunikation
      1216 | Gesetz zur Änderung und Ergänzung des Wertpapierbereinigungsgesetzes
      1212 | Gesetz über eine staatliche Vorauszahlung an durch Straftaten geschädigte Bürger
      1195 | Gesetz über den Beruf der Diätassistentin und des Diätassistenten (Artikel 1 des Gesetzes über den Beruf der Diätassistentin und des Diätassistenten und zur Änderung verschiedener Gesetze über den Zugang zu anderen Heilberufen)
      1192 | Zweites Gesetz zur Regelung von Fragen der Staatsangehörigkeit
      1190 | Gesetz über die Verjährung von deutschen Auslandsschulden und ähnlichen Schulden
      1190 | Gesetz zur Durchführung der Rechtsakte der Europäischen Union über Qualitätsregelungen betreffend garantiert traditionelle Spezialitäten und fakultative Qualitätsangaben
      1185 | Gesetz, betreffend die Anfechtung von Rechtshandlungen eines Schuldners außerhalb des Konkursverfahrens
      1185 | Zweites Gesetz über die Anpassung der Renten aus den gesetzlichen Rentenversicherungen aus Anlaß der Veränderung der allgemeinen Bemessungsgrundlage für das Jahr 1959
      1179 | Erstes Gesetz zur Neuregelung des Besoldungsrechts
      1174 | Gesetz zur Ergänzung des Reichssiedlungsgesetzes
      1173 | Gesetz zu dem Vertrag vom 3. August 1990 zur Vorbereitung und Durchführung der ersten gesamtdeutschen Wahl des Deutschen Bundestages zwischen der Bundesrepublik Deutschland und der Deutschen Demokratischen Republik sowie dem Änderungsvertrag vom 20. August 1990
      1167 | Gesetz über Straffreiheit
      1156 | Dienstrechtliches Begleitgesetz im Zusammenhang mit dem Beschluß des Deutschen Bundestages vom 20. Juli 1991 zur Vollendung der Einheit Deutschlands
      1154 | Gesetz zur Neuregelung des Rechts der gesetzlichen Unfallversicherung
      1153 | Gesetz zu dem Vertrag vom 31. August 1990 zwischen der Bundesrepublik Deutschland und der Deutschen Demokratischen Republik über die Herstellung der Einheit Deutschlands - Einigungsvertragsgesetz - und der Vereinbarung vom 18. September 1990
      1151 | Gesetz zur Reform der gesetzlichen Rentenversicherung
      1146 | Verkehrsfinanzgesetz 1955
      1142 | Gesetz zur Ausführung der EWG-Verordnung über die Europäische wirtschaftliche Interessenvereinigung
      1133 | Gesetz über die Statistik der Seeschiffahrt
      1132 | Gesetz über die Festsetzung von Mindestarbeitsbedingungen
      1131 | Gesetz zum Schutz von Embryonen
      1127 | Gesetz zur Förderung eines freiwilligen sozialen Jahres
      1120 | Gesetz über den Grunderwerb für die Kanalisierung der Mittelweser
      1112 | Gesetz über die Tilgung von Ausgleichsforderungen
      1105 | Gesetz zu dem Vertrag vom 12. Oktober 1990 zwischen der Bundesrepublik Deutschland und der Union der Sozialistischen Sowjetrepubliken über die Bedingungen des befristeten Aufenthalts und die Modalitäten des planmäßigen Abzugs der sowjetischen Truppen aus dem Gebiet der Bundesrepublik Deutschland
      1101 | Gesetz über die Anpassung von Kreditverträgen an Marktbedingungen sowie über Ausgleichsleistungen an Kreditnehmer
      1086 | Gesetz über Straffreiheit
      1082 | Gesetz zur Aufbesserung von Leistungen aus Renten- und Pensionsversicherungen sowie aus Kapitalzwangsversicherungen
      1080 | Gesetz über das Verwaltungsverfahren der Kriegsopferversorgung
      1078 | Gesetz zur Feststellung von rechtswidrigen Handlungen mit Wirkung auf die Währungsumstellung von Mark der Deutschen Demokratischen Republik in Deutsche Mark
      1077 | Gesetz zur Änderung von Vorschriften des Verschollenheitsrechts
      1072 | Bundesbahngesetz
      1071 | Drittes Gesetz über die Anpassung der Renten aus den gesetzlichen Rentenversicherungen aus Anlaß der Veränderung der allgemeinen Bemessungsgrundlage für das Jahr 1960
      1069 | Gesetz über Statistiken der Rohstoff- und Produktionswirtschaft einzelner Wirtschaftszweige
      1057 | Gesetz zum Zweiten Abkommen vom 16. August 1960 zwischen der Bundesrepublik Deutschland und den Vereinigten Staaten von Amerika über gewisse Angelegenheiten, die sich aus der Bereinigung deutscher Dollarbonds ergeben
      1055 | Rechtsberatungsgesetz
      1046 | Gesetz über die Verwaltung des ERP-Sondervermögens
      1046 | Gesetz über die Statistik für das Hochschulwesen sowie für die Berufsakademien
      1043 | Gesetz über die Zusammenarbeit mit dem Internationalen Strafgerichtshof für das ehemalige Jugoslawien
      1024 | Gesetz über die Zusammenarbeit von Bund und Ländern in Angelegenheiten der Europäischen Union
      1011 | Gesetz über die Träger der gesetzlichen Sozialversicherung im Bereich der früheren Deutschen Bundespost
       993 | Gesetz zur Einführung von Bundesrecht auf den Gebieten der Arbeitsbedingungen und des Familienlastenausgleichs im Saarland
       988 | Gesetz über die Gemeinschaftsaufgabe "Verbesserung der Agrarstruktur und des Küstenschutzes"
       985 | Gesetz zur Umsetzung des Beschlusses des Deutschen Bundestages vom 20. Juni 1991 zur Vollendung der Einheit Deutschlands
       985 | Gesetz zur Weiterentwicklung des Rechts der gesetzlichen Krankenversicherung
       985 | Achtes Gesetz zur Änderung des Lastenausgleichsgesetzes (Gesetz nach § 246 LAG - 8. ÄndG LAG)
       981 | Fünftes Gesetz über die Erhöhung von Dienst- und Versorgungsbezügen in Bund und Ländern
       975 | Gesetz zur Errichtung einer Stiftung "Haus der Geschichte der Bundesrepublik Deutschland" (Artikel 1 d. Gesetzes zur Errichtung einer Stiftung "Haus der Geschichte der Bundesrepublik Deutschland")
       966 | Gesetz über die unentgeltliche Beförderung Schwerbehinderter im öffentlichen Personenverkehr
       958 | Erstes Gesetz über die Anpassung der Renten aus den gesetzlichen Rentenversicherungen aus Anlaß der Veränderung der allgemeinen Bemessungsgrundlage für das Jahr 1958
       943 | Gesetz über Änderungen von Vorschriften des Zweiten Buches der Reichsversicherungsordnung und zur Ergänzung des Sozialgerichtsgesetzes
       935 | Gesetz über die Statistik der Binnenschiffahrt
       933 | Gesetz über den Beruf des pharmazeutisch-technischen Assistenten
       930 | Gesetz zur Beschleunigung der Planungen für Verkehrswege in den neuen Ländern sowie im Land Berlin
       927 | Gesetz zu dem Abkommen vom 9. Oktober 1975 zwischen der Bundesrepublik Deutschland und der Volksrepublik Polen über Renten- und Unfallversicherung nebst der Vereinbarung hierzu vom 9. Oktober 1975
       926 | Gesetz zur Neuordnung des Eisenbahnwesens
       926 | Drittes Gesetz über die Erhöhung von Dienst- und Versorgungsbezügen in Bund und Ländern
       908 | Gesetz über das Vermögen der Gemeinden, Städte und Landkreise
       907 | Gesetz zur Ausführung des Abkommens vom 14. Juli 1960 zwischen der Bundesrepublik Deutschland und dem Vereinigten Königreich Großbritannien und Nordirland über die gegenseitige Anerkennung und Vollstreckung von gerichtlichen Entscheidungen in Zivil- und Handelssachen
       907 | Gesetz über die Gewährung einer Vergütung für die Aufgabe der Milcherzeugung für den Markt
       906 | Gesetz über die Umwandlung von Reichsmarkguthaben im Saarland
